Название поселка;Последнее обновление;Стоимость сотки ОТ;Стоимость сотки ДО;Стоимость участков ОТ;Стоимость участков ДО;Площадь участков ОТ;Площадь участков ДО;Участков в поселке;Участков в продаже
Городской квартал Левобережный;06.10.2024 04:40;1132852;1150000;11000000;11500000;9.71;10;123;2
Микрорайон Покровский;06.10.2024 04:40;302925;360738;2475000;4375000;7.98;12.52;154;24
Квартал Лесной;06.10.2024 04:40;95724;199837;700000;2460000;4.94;13.03;250;76
Квартал Добрый;06.10.2024 04:40;179487;200534;1840000;5115000;10;25.58;319;41
