Название поселка;id Поселкино;Стоимость сотки ОТ;Стоимость сотки ДО;Стоимость участков ОТ;Стоимость участков ДО;Площадь участков ОТ;Площадь участков ДО;Участков в поселке;Участков в продаже
Дергаево-2 (Очередь 3);3426;190000;330000;1706100;2933700;5.17;10.5;454;3
Белоозерский;3223;58000;58000;781260;781260;13.47;13.47;93;1
