Название поселка;Последнее обновление;Стоимость сотки ОТ;Стоимость сотки ДО;Стоимость участков ОТ;Стоимость участков ДО;Площадь участков ОТ;Площадь участков ДО;Участков в поселке;Участков в продаже
Новое Рябцево;06.10.2024 04:00;35000;320000;352654;3200000;10;10.97;332;19
Мартьяново;06.10.2024 04:00;153428;316848;1535818;6086514;10.01;19.21;209;5
Петрухино дальнее;06.10.2024 04:00;107267;200000;1408400;3582000;10.06;17.91;25;9
Петрухино-2;06.10.2024 04:00;112363;817661;1135992;10600000;8.35;13.79;278;14
Воскресенки;06.10.2024 04:00;167733;240436;1822775;3061680;10;15.34;168;68
Солнечный луг;06.10.2024 04:00;44999;170502;454050;2000000;10.09;15.51;82;27
Арнеево;06.10.2024 04:00;143209;374090;1840524;7175048;8.87;20.08;209;7
Лёвшино;06.10.2024 04:00;70000;80000;1169700;2317600;16.71;28.97;51;2
Покровские земли;06.10.2024 04:00;212200;276264;2223975;3397464;10.04;13.1;152;37
